oco_id;codigo_ocorrencia2;aeronave_fatalidades_total
1381;48446;0
1382;48451;0
1383;48474;0
1384;48512;0
1385;48516;0
1386;48578;0
1387;48580;0
1388;48582;0
1389;48584;0
1390;48630;0
1391;48652;0
1392;48653;0
1393;48654;0
1394;48656;0
1395;48657;0
1396;48658;2
1397;48659;0
1398;48660;0
1399;48661;0
1400;48662;0
1401;48691;0
1402;48693;0
1403;48694;0
1404;48696;0
1405;48711;0
1406;48714;0
1407;48716;0
1408;48727;2
1409;48729;0
1410;48731;0
1411;48734;0
1412;48736;0
1413;48738;0
1414;48739;0
1415;48751;0
1416;48753;0
1417;48754;0
1418;48755;0
1419;48757;0
1420;48759;0
1421;48761;0
1422;48762;0
1423;48772;0
1424;48791;0
1425;48793;0
1426;48795;0
1427;48796;1
1428;48797;0
1429;48799;0
1430;48800;0
1431;48801;0
1432;48803;0
1433;48804;0
1434;48812;0
1435;48813;0
1436;48814;0
1437;48816;0
1438;48832;0
1439;48833;0
1440;48837;0
1441;48848;0
1442;48850;0
1443;48852;0
1444;48871;0
1445;48876;0
1446;48878;0
1447;48879;0
1448;48881;0
1449;48883;0
1450;48884;0
1451;48893;0
1452;48894;0
1453;48895;0
1454;48896;0
1455;48897;0
1456;48898;0
1457;48899;0
1458;48912;0
1459;48915;0
1460;49053;0
1461;49058;0
1462;49113;0
1463;49115;0
1464;49116;6
1465;49117;0
1466;49118;0
1467;49119;0
1468;49120;2
1469;49121;0
1470;49122;0
1471;49123;0
1472;49124;0
1473;49125;0
1474;49152;0
1475;49154;0
1476;49155;0
1477;49156;0
1478;49157;0
1479;49158;0
1480;49171;0
1481;49171;0
1482;49192;0
1483;49194;0
1484;49233;4
1485;49237;1
1486;49252;0
1487;49254;0
1488;49255;0
1489;49258;0
1490;49261;0
1491;49262;0
1492;49263;0
1493;49264;0
1494;49265;0
1495;49267;0
1496;49269;0
1497;49271;0
1498;49272;0
1499;49274;0
1500;49276;0
1501;49278;0
1502;49279;0
1503;49280;0
1504;49281;0
1505;49282;0
1506;49283;0
1507;49284;0
1508;49285;0
1509;49286;0
1510;49288;0
1511;49289;0
1512;49290;0
1513;49291;0
1514;49292;0
1515;49294;0
1516;49295;0
1517;49451;0
1518;49454;0
1519;49472;0
1520;49473;0
1521;49474;0
1522;49475;0
1523;49476;0
1524;49478;0
1525;49479;0
1526;49493;0
1527;49494;0
1528;49511;0
1529;49513;0
1530;49514;0
1531;49515;0
1532;49516;0
1533;49517;0
1534;49518;0
1535;49519;0
1536;49520;0
1537;49521;0
1538;49522;0
1539;49523;0
1540;49524;0
1541;49525;0
1542;49525;0
1543;49527;0
1544;49528;0
1545;49529;0
1546;49532;0
1547;49533;0
1548;49534;0
1549;49534;0
1550;49536;0
1551;49537;0
1552;49538;0
1553;49539;0
1554;49591;0
1555;49592;0
1556;49593;0
1557;49594;0
1558;49611;3
1559;49612;0
1560;49614;0
1561;49615;0
1562;49616;5
1563;49617;0
1564;49618;0
1565;49619;0
1566;49620;0
1567;49621;0
1568;49623;0
1569;49624;0
1570;49632;0
1571;49634;0
1572;49635;0
1573;49636;0
1574;49637;0
1575;49638;0
1576;49639;0
1577;49640;0
1578;49641;0
1579;49642;0
1580;49644;0
1581;49651;1
1582;49671;0
1583;49672;0
1584;49673;0
1585;49691;0
1586;49692;0
1587;49693;0
1588;49694;0
1589;49695;0
1590;49696;0
1591;49697;0
1592;49698;0
1593;49699;0
1594;49700;0
1595;49702;0
1596;49703;0
1597;49704;0
1598;49705;0
1599;49706;0
1600;49708;0
1601;49709;0
1602;49710;0
1603;49711;0
1604;49712;0
1605;49751;0
1606;49752;0
1607;49753;0
1608;49754;0
1609;49792;0
1610;49795;0
1611;49796;0
1612;49797;0
1613;49798;0
1614;49814;0
1615;49819;0
1616;49831;0
1617;49832;0
1618;49833;0
1619;49834;0
1620;49876;0
1621;49878;0
1622;49880;0
1623;49882;0
1624;49892;0
1625;49911;1
1626;49931;0
1627;49932;0
1628;49933;0
1629;49934;0
1630;49935;0
1631;49951;0
1632;49953;0
1633;49954;0
1634;49955;0
1635;49956;0
1636;49957;0
1637;49958;0
1638;49959;0
1639;49961;0
1640;49962;0
1641;49963;0
1642;49964;0
1643;49965;0
1644;49966;0
1645;49967;0
1646;49968;0
1647;50053;0
1648;50091;5
1649;50093;0
1650;50095;0
1651;50097;0
1652;50099;0
1653;50131;0
1654;50132;3
1655;50152;0
1656;50153;0
1657;50173;0
1658;50174;0
1659;50176;0
1660;50192;0
1661;50211;0
1662;50213;0
1663;50214;0
1664;50233;0
1665;50234;0
1666;50236;1
1667;50238;4
1668;50239;0
1669;50240;1
1670;50245;0
1671;50246;0
1672;50248;0
1673;50251;0
1674;50252;0
1675;50253;0
1676;50254;0
1677;50255;0
1678;50257;0
1679;50258;0
1680;50259;0
1681;50260;0
1682;50271;0
1683;50273;0
1684;50275;0
1685;50276;0
1686;50291;2
1687;50292;0
1688;50313;0
1689;50314;0
1690;50315;0
1691;50317;0
1692;50318;0
1693;50319;0
1694;50320;0
1695;50321;0
1696;50322;0
1697;50324;0
1698;50325;0
1699;50331;0
1700;50332;0
1701;50333;0
1702;50334;0
1703;50335;0
1704;50337;1
1705;50339;0
1706;50341;0
1707;50342;5
1708;50343;0
1709;50344;0
1710;50346;0
1711;50347;0
1712;50348;1
1713;50349;2
1714;50352;1
1715;50353;0
1716;50354;2
1717;50371;0
1718;50372;0
1719;50373;0
1720;50374;0
1721;50375;0
1722;50376;0
1723;50377;0
1724;50378;0
1725;50379;0
