codigo_ocorrencia2;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;matricula;assentos
45056;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;FORA DE AERODROMO;CRUZEIRO;DESTRUÍDA;3;PPCLE;4
45057;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PUIJC;2
45058;ITAITUBA;FORA DE AERODROMO;CRUZEIRO;SUBSTANCIAL;0;PRHLB;7
45059;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;1;PUZZZ;2
45060;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;FORA DE AERODROMO;CRUZEIRO;SUBSTANCIAL;0;PRPIP;4
45061;FORA DE AERODROMO;FORA DE AERODROMO;PARTIDA DO MOTOR;SUBSTANCIAL;0;PRINC;4
45062;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PTWAF;4
45063;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PUALU;1
45064;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;DESTRUÍDA;1;PRZRT;2
45065;SANTOS DUMONT;JACAREPAGUÁ;CRUZEIRO;DESTRUÍDA;2;PRCEC;4
45070;FAZENDA RIO PARDO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTURD;1
45071;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;SUBSTANCIAL;0;PTUZN;1
45072;OURINHOS;FAZENDA MOSQUITO;CORRIDA APÓS POUSO;SUBSTANCIAL;0;PTNSY;4
45087;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;SUBSTANCIAL;0;PTUZE;1
45088;PONTA PORÃ;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;DESCIDA;DESTRUÍDA;4;PTCTL;6
45089;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;AEROPORTO ELIAS BREDER;POUSO;SUBSTANCIAL;0;PTLJJ;10
45090;SANTA MARIA;SANTA MARIA;POUSO;LEVE;0;PPFLX;3
45091;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PUHHH;2
45094;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;SUBSTANCIAL;0;PRZTL;4
45096;MARECHAL RONDON;HERCÍLIO LUZ;CRUZEIRO;SUBSTANCIAL;0;PRGAB;6
45098;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;SUBSTANCIAL;0;PTJKV;6
45100;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO SOLO;SUBSTANCIAL;0;PPGRQ;2
45102;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;SUBSTANCIAL;0;PRSEC;14
